class, subclass, source, intuition, cite, title, authors, venue, year, doi, selected projects, notes
"CURATED", "", "Bugzbook", "POPULAR PROJECTS|ANOTHER PAPER", "Akbar:2020:MSR", "A Large-Scale Comparative Evaluation of IR-Based Tools for Bug Localization", "Shayan A. Akbar and Avinash C. Kak", "MSR", "2020", "10.1145/3379597.3387474", 29, "29 Projects (Bugzbook). They construct Bugzbook.
Arbitrary Java projects from Apache, arbitrary C/C++ and Python large-scale projects.
@ Apache projects because its software developer community is believed to be the largest in the open-source software world with regards to Java programming language. 
@ Also, other large-scale open-source projects."
"UNKNOWN", "", "GitHub", "FAMILIARITY", "Yang:2020:MSR", "A Machine Learning Approach for Vulnerability Curation", "Chen Yang and Andrew Santosa and Ang Ming Yi and Abhishek Sharma and Asankhaya Sharma and David Lo", "MSR", "2020", "10.1145/3379597.3387461", 20447, "Seleted 20,447 repositories of libraries from GH. 
@ We build our list of servers and repositories based on the open-source libraries that we frequently encounter in customer scans."
"CURATED", "", "Bugzbook", "ANOTHER PAPER", "Rodrigues:2020:MSR", "A Soft Alignment Model for Bug Deduplication", "Irving Muller Rodrigues and Daniel Aloise and Eraldo Rezende Fernandes and Michel Dagenais", "MSR", "2020", "10.1145/3379597.3387470", 3, "3 projects
OpenOffice, Eclipse, NetBeans and Mozilla.
Criteria not specified.
No justification for criteria.
Bugzbook: Apache projects because its software developer community is believed to be the largest in the open-source software world with regards to Java programming language. we only selected those projects for which we could find the bug reports online in the well managed Jira. Bugzbook also contains bug reports from other large-scale open-source Projects, such as Tensorflow, OpenCV, Chrome, and Pandas."
"STARS", "THRESHOLD", "Public Git Archive", "??", "Golubev:2020:MSR", "A Study of Potential Code Borrowing and License Violations in Java Projects on GitHub", "Yaroslav Golubev and Maria Eliseeva and Nikita Povarov and Timofey Bryksin", "MSR", "2020", "10.1145/3379597.3387455", 23378, "23,378 Projects from Public Git Archive (PGA). 
50+ stars and 1+ lines of Java.
Collected early 2018
Java: popularity in the industry, where legal concerns have particular weight. 
Repositories containing any code at all."
"INCOMPATIBLE", "", "", "??", "Malkadi:2020:MSR", "A Study on the Accuracy of OCR Engines for Source Code Transcription from Programming Screencasts", "Abdulkarim Malkadi and Mohammad Alahmadi and Sonia Haiduc", "MSR", "2020", "10.1145/3379597.3387468", , "Source screenshots from videos and documents."
"FILTER ", "10+ docker builds", "Google BigQuery", "??", "Wu:2020:MSR", "A Tale of Docker Build Failures: A Preliminary Study", "Yiwen Wu and Yang Zhang and Tao Wang and Huaimin Wang", "MSR", "2020", "10.1145/3379597.3387483", 3828, "3,828 projects from Google BigQuery GH data 
Has dockerfile, is listed on Docker Hub, is a public project, has 10+ docker builds
Collected July 2019.
10+ build: serious docker projects rather than small experiments"
"EVERYTHING", "", "collection of websites", "??", "Tsay:2020:MSR", "AIMMX: Artificial Intelligence Model Metadata Extractor", "Jason Tsay and Alan Braz and Martin Hirzel and Avraham Shinnar and Todd Mummert", "MSR", "2020", "10.1145/3379597.3387448", 8017, "284 project from model zoos of popular frameworks, (well-documented and maintained)
3,409 projects selected form papers and Kaggle, 
4,324 projects from Paper With Code website.
No specific date."
"STARS", "TOP", "GitHub", "??", "Nakamaru:2020:MSR", "An Empirical Study of Method Chaining in Java", "Tomoki Nakamaru and Tomomasa Matsunaga and Tetsuro Yamazaki and Soramichi Akiyama and Shigeru Chiba", "MSR", "2020", "10.1145/3379597.3387441", 2814, "2,814 Java repositories from GitHub.
Within 1000 most starred Java projects during collection period.
Nov--Dec 2019.
No justification for criteria."
"DOMAIN", "", "collection of organizations", "??", "Wang:2020:MSR", "An Empirical Study on Regular Expression Bugs", "Peipei Wang and Chris Brown and Jamie Jennings and Kathryn Stolee", "MSR", "2020", "10.1145/3379597.3387464", 195, "195 projects from GH GraphQL API.
Organizations: Apache, Mozilla, Google, and Facebook. 
Containing merged pull requests with ""regular expression"" or “regex"" 
in the title or description with the last update time before February 1st, 2019.
Java, JavaScript, or Python as the primary language.
Focus on real resolutions to real bugs. Established organizations with mature
development processes and active projects. Intuition to get many commits,
contributors, and culture of pull request use.
Languages: most popular programming languages used on GitHub "
"INCOMPATIBLE", "", "", "??", "Calciati:2020:MSR", "Automatically Granted Permissions in Android apps", "Paolo Calciati and Konstantin Kuznetsov and Alessandra Gorla and Andreas Zeller", "MSR", "2020", "10.1145/3379597.3387469", , "Android apps from Android app stores."
