project_id,year,chain_length,frequency
3184,2012,1,771387
3184,2012,2,10012
3184,2012,3,724
3184,2012,4,110
3184,2012,5,31
3184,2012,6,25
3184,2012,7,8
3184,2012,8,10
3184,2012,9,7
3184,2012,10,6
3184,2012,11,1
3184,2012,12,1
3184,2012,13,2
3184,2012,15,2
3184,2012,16,2
3184,2012,18,1
3184,2012,21,1
3184,2012,26,1
3184,2012,27,1
3184,2012,35,1
3184,2016,1,771387
3184,2016,2,10012
3184,2016,3,724
3184,2016,4,110
3184,2016,5,31
3184,2016,6,25
3184,2016,7,8
3184,2016,8,10
3184,2016,9,7
3184,2016,10,6
3184,2016,11,1
3184,2016,12,1
3184,2016,13,2
3184,2016,15,2
3184,2016,16,2
3184,2016,18,1
3184,2016,21,1
3184,2016,26,1
3184,2016,27,1
3184,2016,35,1
3193,2009,1,154
3193,2009,2,8
3193,2009,4,1
3274,2011,1,2
3274,2012,1,914
3274,2012,2,22
3274,2012,3,4
3274,2012,6,2
3391,2011,1,2
3399,2009,1,33
3452,2012,1,247
3452,2012,2,31
3472,2012,1,283
3472,2012,2,10
3472,2012,3,1
3472,2013,1,301
3472,2013,2,6
3472,2013,3,1
3661,2011,1,56
3661,2011,2,3
3661,2012,1,56
3661,2012,2,3
3677,2008,1,4
3700,2009,1,386
3700,2009,2,26
3700,2010,1,386
3700,2010,2,26
3700,2011,1,386
3700,2011,2,26
3889,2010,1,675
3889,2010,2,27
3889,2010,3,2
3915,2010,1,140
3915,2010,2,5
3915,2010,4,3
3915,2011,1,175
3915,2011,2,5
3915,2011,4,3
4178,2010,1,579
4178,2010,2,5
4178,2017,1,579
4178,2017,2,5
4210,2009,1,48
4210,2009,2,3
4227,2010,1,1080
4227,2010,2,37
4227,2012,1,1727
4227,2012,2,80
4227,2012,3,10
4417,2011,1,161
4417,2011,2,6
4604,2011,1,16
4604,2011,2,2
4604,2011,301,1
4679,2010,1,830
4745,2011,1,73
4745,2011,2,2
4745,2015,1,74
4745,2015,2,3
4786,2012,1,68
4815,2010,1,5899
4815,2010,2,58
4815,2010,3,2
4997,2009,1,57
4997,2009,2,5
4997,2010,1,57
4997,2010,2,5
4997,2012,1,57
4997,2012,2,5
5059,2011,1,33
5087,2011,1,80
5087,2011,2,5
5087,2011,3,2
5087,2012,1,75
5087,2012,2,5
5087,2012,5,1
5087,2013,1,75
5087,2013,2,5
5087,2013,5,1
5374,2011,1,13
5605,2008,1,1322
5605,2008,2,10
5605,2009,1,1322
5605,2009,2,10
5748,2009,1,28
5748,2009,2,8
5748,2011,1,29
5748,2011,2,8
5963,2011,1,44
5963,2011,2,5
5963,2011,3,1
5963,2013,1,44
5963,2013,2,5
5963,2013,3,1
5963,2016,1,44
5963,2016,2,5
5963,2016,3,1
5963,2018,1,44
5963,2018,2,5
5963,2018,3,1
6001,2011,1,47
6001,2011,2,2
6223,2011,1,80
6223,2016,1,79
6496,2010,1,89
6502,2009,1,72377
6502,2009,2,1556
6502,2009,3,168
6502,2009,4,28
6502,2009,5,7
6502,2009,6,5
6502,2009,8,1
6502,2010,1,72514
6502,2010,2,1564
6502,2010,3,168
6502,2010,4,28
6502,2010,5,7
6502,2010,6,5
6502,2010,8,1
6809,2012,1,1167
6809,2012,2,76
6809,2012,3,44
6809,2012,4,5
6809,2013,1,1167
6809,2013,2,76
6809,2013,3,44
6809,2013,4,5
6809,2014,1,1175
6809,2014,2,73
6809,2014,3,44
6809,2014,4,5
6809,2014,5,1
6809,2014,7,1
7191,2008,1,676
7191,2008,2,10
7191,2008,3,1
7191,2009,1,676
7191,2009,2,10
7191,2009,3,1
7205,2010,1,256
7205,2010,2,9
7205,2010,3,1
7205,2010,4,1
7205,2010,5,1
7205,2010,6,1
7259,2012,1,189
7259,2012,2,19
7259,2012,3,5
7259,2012,4,4
7259,2012,5,3
7259,2013,1,280
7259,2013,2,34
7259,2013,3,10
7259,2013,4,6
7259,2013,5,6
7561,2010,1,158
7561,2010,2,8
7771,2010,1,64
7771,2011,1,64
7771,2013,1,64
7914,2012,1,2706
7914,2012,2,246
7914,2012,3,27
7914,2012,4,6
7914,2012,5,3
7914,2012,8,1
7914,2015,1,3551
7914,2015,2,265
7914,2015,3,47
7914,2015,4,10
7914,2015,5,8
7914,2015,6,2
7914,2015,11,1
8124,2012,1,227
8124,2013,1,229
8124,2014,1,227
8124,2015,1,229
8124,2020,1,229
8270,2010,1,77
8270,2010,2,2
8270,2010,3,1
8400,2012,1,143
8400,2012,2,4
8447,2009,1,318
8447,2009,2,74
8549,2009,1,18398
8549,2009,2,273
8549,2009,3,43
8549,2009,4,1
8549,2009,6,1
8732,2009,1,98
8732,2009,2,4
8732,2017,1,109
8732,2017,2,6
8732,2017,3,1
8732,2017,4,1
8894,2010,1,128
8894,2010,2,20
9648,2009,1,180
9648,2009,2,11
9648,2009,3,1
10704,2008,1,1414
10704,2008,2,67
10704,2008,3,2
11942,2010,1,95
11942,2010,2,1
11961,2010,1,1179
11961,2010,2,54
11961,2010,3,5
11961,2011,1,1179
11961,2011,2,54
11961,2011,3,5
11961,2014,1,1179
11961,2014,2,54
11961,2014,3,5
12032,2008,1,302
12032,2014,1,302
12032,2014,2,1
12143,2010,1,62
12143,2010,2,1
12143,2010,3,3
12143,2011,1,86
12143,2011,2,1
12143,2011,3,3
12211,2010,1,151
12211,2010,2,12
12211,2011,1,164
12211,2011,2,13
12456,2010,1,122
12456,2010,2,12
12456,2011,1,158
12456,2011,2,17
12456,2011,3,2
12512,2010,1,2214
12512,2010,2,60
12512,2010,3,5
12512,2010,4,1
12589,2009,1,17
12589,2009,2,1
12606,2009,1,445
12606,2009,2,11
12606,2009,3,2
12761,2011,1,296
12761,2011,2,5
12761,2011,3,1
12761,2012,1,297
12761,2012,2,5
12761,2012,3,1
12832,2009,1,64
12832,2009,2,1
12832,2009,3,1
12889,2011,1,69
12889,2011,2,2
12889,2012,1,135
12889,2012,2,13
12894,2010,1,70
12894,2010,2,1
12927,2010,1,40394
12927,2010,2,2460
12927,2010,3,453
12927,2010,4,102
12927,2010,6,9
12927,2010,7,22
12927,2010,9,17
13288,2010,1,1999
13288,2010,2,111
13288,2010,3,21
13288,2010,4,1
13294,2009,1,5
13294,2009,2,1
13678,2009,1,87
13678,2009,2,5
13678,2010,1,87
13678,2010,2,5
13879,2010,1,2642
13879,2010,2,65
13879,2015,1,2667
13879,2015,2,66
14154,2012,1,70
14154,2012,2,4
14945,2011,1,4585
14945,2011,2,67
15723,2012,1,55
15723,2012,2,5
15723,2012,3,1
15723,2014,1,55
15723,2014,2,5
15723,2014,3,1
16058,2009,1,424
16058,2009,2,10
16276,2010,1,99
16276,2010,2,6
16276,2011,1,103
16276,2011,2,6
16544,2010,1,60
16544,2010,2,6
16581,2012,1,178
16581,2012,2,13
16581,2013,1,173
16581,2013,2,13
16722,2012,1,5070
16722,2012,2,215
16722,2012,3,97
16722,2012,4,74
16722,2012,5,7
16722,2012,6,13
16722,2012,8,3
16722,2012,9,4
16722,2012,10,3
16722,2012,11,1
16722,2012,12,1
16722,2012,13,1
16722,2012,14,3
16722,2012,16,1
16722,2012,18,2
16722,2012,22,1
16722,2012,24,1
16722,2012,26,1
16722,2012,27,1
17117,2015,1,191498
17117,2015,2,15560
17117,2015,3,2569
17117,2015,4,289
17117,2015,5,58
17117,2015,6,56
17117,2015,7,18
17117,2015,8,21
17117,2015,9,3
17117,2015,10,7
17117,2015,11,3
17117,2015,14,1
17117,2015,16,1
17176,2011,1,261
17176,2011,2,13
17176,2011,3,4
17176,2011,4,3
17176,2011,6,1
17176,2011,8,1
17176,2011,10,1
17176,2012,1,263
17176,2012,2,13
17176,2012,3,4
17176,2012,4,3
17176,2012,6,1
17176,2012,8,1
17176,2012,10,1
17176,2013,1,261
17176,2013,2,13
17176,2013,3,4
17176,2013,4,3
17176,2013,6,1
17176,2013,8,1
17176,2013,10,1
17490,2011,1,116
17490,2011,2,4
17490,2017,1,116
17490,2017,2,4
17866,2009,1,3084
17866,2009,2,54
17866,2009,3,4
17866,2009,4,7
17868,2010,1,232
17868,2010,2,23
17868,2010,3,2
17868,2010,4,1
17943,2009,1,110
17943,2009,2,1
18028,2012,1,27
18028,2012,2,9
18028,2012,6,1
18043,2015,1,131
18043,2015,2,1
18043,2015,3,2
18330,2015,1,2238
18330,2015,2,80
18330,2015,3,17
18330,2015,4,2
18330,2015,5,5
18330,2015,6,7
18330,2015,7,1
18572,2009,1,470
18572,2009,2,10
18661,2009,1,16
18661,2020,1,16
18711,2009,1,526
18711,2009,2,13
18711,2009,3,6
18738,2008,1,2021
18738,2008,2,22
18738,2009,1,2026
18738,2009,2,22
18798,2010,1,438
18798,2010,2,18
18798,2010,3,1
18798,2012,1,433
18798,2012,2,18
18798,2012,3,1
18878,2009,1,375
