project_id,url,stars,locs
0,"https://github.com/unity-technologies/ml-agents.git",11413,83167
1,"https://github.com/picovoice/porcupine.git",2501,842007
2,"https://github.com/evilsocket/pwnagotchi.git",4440,61755
3,"https://github.com/google/tangent.git",2183,11164
4,"https://github.com/keras-team/keras-applications.git",1851,6674
5,"https://github.com/shenweichen/deepctr.git",5194,12941
6,"https://github.com/lene/nn-wtf.git",0,3603
7,"https://github.com/tensorflow/ranking.git",2211,39644
8,"https://github.com/minimaxir/textgenrnn.git",4472,1034
9,"https://github.com/raghakot/keras-vis.git",2848,2403
10,"https://github.com/tsurumeso/waifu2x-chainer.git",127,1641
11,"https://github.com/asappresearch/sru.git",1957,6522
12,"https://github.com/hironsan/anago.git",1416,2577
13,"https://github.com/maciejkula/spotlight.git",2537,6060
14,"https://github.com/maxpumperla/elephas.git",1489,3977
15,"https://github.com/tzutalin/labelimg.git",14899,4412
16,"https://github.com/dt42/berrynet.git",1513,14548
17,"https://github.com/deeplabcut/deeplabcut.git",2267,49325
18,"https://github.com/petrochukm/pytorch-nlp.git",1936,35514
19,"https://github.com/pierluigiferrari/ssd_keras.git",1752,9933
20,"https://github.com/intellabs/coach.git",2010,113754
21,"https://github.com/autonomio/talos.git",1422,4821
22,"https://github.com/tflearn/tflearn.git",9558,19880
23,"https://github.com/dmlc/gluon-nlp.git",2310,51288
24,"https://github.com/dmlc/gluon-cv.git",4836,182066
25,"https://github.com/deepmind/sonnet.git",8942,23029
26,"https://github.com/intellabs/nlp-architect.git",2705,465222
27,"https://github.com/tryolabs/luminoth.git",2378,19823
28,"https://github.com/keras-team/autokeras.git",8070,18420
29,"https://github.com/ludwig-ai/ludwig.git",7819,61131
30,"https://github.com/wkentaro/labelme.git",7003,11086
31,"https://github.com/catalyst-team/catalyst.git",2677,60540
32,"https://github.com/google/deepvariant.git",2301,91561
33,"https://github.com/climbsrocks/auto_ml.git",1545,9537
34,"https://github.com/microsoft/nni.git",10036,154145
35,"https://github.com/hanxiao/bert-as-service.git",9437,4966
36,"https://github.com/nvidia/openseq2seq.git",1410,47574
37,"https://github.com/asyml/texar.git",2184,56031
38,"https://github.com/ntmc-community/matchzoo.git",3472,31285
39,"https://github.com/allenai/allennlp.git",10352,92178
40,"https://github.com/pytorchlightning/pytorch-lightning.git",14676,77651
41,"https://github.com/gpflow/gpflow.git",1484,30471
42,"https://github.com/opennmt/opennmt-py.git",5137,22750
43,"https://github.com/deepmipt/deeppavlov.git",5317,77092
44,"https://github.com/tensorpack/tensorpack.git",6052,41625
45,"https://github.com/aleju/imgaug.git",11546,157452
46,"https://github.com/d2l-ai/d2l-zh.git",24961,9652
47,"https://github.com/tensorlayer/tensorlayer.git",6665,56472
48,"https://github.com/niftk/niftynet.git",1286,75630
49,"https://github.com/ray-project/ray.git",16756,514886
50,"https://github.com/tensorflow/tensor2tensor.git",11436,146363
51,"https://github.com/deepchem/deepchem.git",3060,102018
52,"https://github.com/chainer/chainercv.git",1456,48639
53,"https://github.com/keras-team/keras.git",52010,231028
54,"https://github.com/openmined/pysyft.git",7409,148263
55,"https://github.com/streamlit/streamlit.git",15431,493643
56,"https://github.com/tensorflow/adanet.git",3298,28199
