"id","locs"
1082448,20681
1105240,18306
1113604,55507
1104892,317
1085510,41620
1087207,378983
1102614,2906
1110023,100298
1070534,2321
1109725,1561
1070970,77383
1086238,8142
1074613,217059
1076735,5222
1102916,7360
1107533,5774
1075208,152449
1173588,157098
1065923,8481
1127219,1693
1090949,54471
1089647,22856
1061737,5860
1090787,2436
1061722,8838
1077742,14192
1078497,157452
1142308,6896
1090923,13852
1076774,258108
1118622,78684
1063995,405678
1070701,586
1102153,71688
1061747,1534
1061732,206205
1063941,52753
1092011,17359
1095625,123713
1086103,150354
1151952,16575
1084032,16001
1061767,44854
1112888,0
1073175,25036
1061715,248339
1061931,2176
1088891,407521
1095257,442681
1078889,84794
1087482,20445
1151784,596387
1145366,75199
1091069,23378
1063744,65750
1069306,48893
1144704,24557
