repo, support, full_support
evergreen, 48264, 52167
citgm, 23482, 23944
30-seconds-of-code, 68712, 68712
atom, 587912, 592840
webpack, 360240, 379728
axios, 23833, 27353
react, 372929, 391550
telescope, 558, 963
meteor, 625901, 661605
carlo, 6368, 8068
reveal.js, 12480, 14786
storybook, 178898, 191031
node, 951530, 975186
create-react-app, 19621, 23107
jquery, 214814, 223413
core-js, 307868, 310555
freeCodeCamp, 117191, 121996
redux, 36410, 39801
express, 80311, 85931
react-native, 655203, 670464
