repo, precision
mindsprint.git, 0.742
matt-peet-illustration.git, 0.736
buddy-app-be.git, 0.858
otus_web.git, 0.918
hr_application.git, 0.877
whatsfordinner3.git, 0.953
fexmessenger.git, 0.966
bewell-in-school.git, 0.904
first-react-app.git, 0.952
niagara_falls_answers.git, 0.908
todo-web.git, 0.793
metrics-module.git, 0.949
kumo-discord-bot.git, 0.968
demo-res.git, 0.878
deprecated_datacenter.git, 0.961
scrapbook_frontend.git, 0.664
slate.git, 0.908
ox15.github.io.git, 0.769
cs-table.git, 0.869
til.git, 0.937
2019-2-atom-frontend-n-tarasov.git, 0.952
booking-server.git, 0.962
yumi-s-house.git, 1.000
riftsketchedit.git, 0.897
akshay23sept.github.io.git, 0.894
