repo, precision, recall, full_recall, f1, full_f1, ppcr, support, full_support, Rules Number, Average Rule Len
qixiang.git, 0.856, 0.856, 0.488, 0.856, 0.622, 0.570, 487, 854, 2, 3.5
reciperoost.git, 0.895, 0.895, 0.750, 0.895, 0.816, 0.838, 2197, 2622, 11, 5.3
apprend.git, 0.899, 0.899, 0.876, 0.899, 0.887, 0.974, 7959, 8168, 104, 6.9
run_tracker.git, 0.934, 0.934, 0.789, 0.934, 0.856, 0.844, 4122, 4882, 17, 6.4
employee-referral.git, 0.952, 0.952, 0.933, 0.952, 0.942, 0.979, 18511, 18899, 53, 6.6
udemy_nodejs.git, 0.946, 0.946, 0.878, 0.946, 0.911, 0.928, 1986, 2140, 10, 5.9
sports_shop_fullstack.git, 1.000, 1.000, 0.412, 1.000, 0.584, 0.412, 40, 97, 2, 2.5
xnote.git, 0.915, 0.915, 0.767, 0.915, 0.835, 0.839, 19990, 23839, 23, 8.4
m.git, 0.913, 0.913, 0.865, 0.913, 0.888, 0.948, 4008, 4230, 64, 9.9
overlook.git, 0.926, 0.926, 0.602, 0.926, 0.729, 0.650, 770, 1185, 7, 4.6
1-4_presents.git, 0.965, 0.965, 0.820, 0.965, 0.887, 0.850, 8076, 9506, 19, 8.9
sonos.git, 0.930, 0.930, 0.704, 0.930, 0.801, 0.757, 3272, 4325, 8, 3.9
colesnyder.github.io.git, 0.970, 0.970, 0.908, 0.970, 0.938, 0.936, 20366, 21753, 23, 9.2
desig-system-ta.git, 0.966, 0.966, 0.783, 0.966, 0.865, 0.811, 1139, 1404, 13, 5.2
patstagram.git, 0.846, 0.846, 0.533, 0.846, 0.654, 0.630, 2095, 3327, 29, 6.7
sauti-studio-fe-v2.git, 0.869, 0.869, 0.660, 0.869, 0.751, 0.760, 1063, 1399, 6, 4.2
imlachchatt.git, 0.945, 0.945, 0.901, 0.945, 0.923, 0.953, 5570, 5843, 18, 6.8
gatsby-starter-netlify-cms1.git, 0.917, 0.917, 0.514, 0.917, 0.659, 0.561, 60, 107, 5, 1.6
