project_id,substore,url,is_fork,is_archived,is_disabled,stars,watchers,size,open_issues,buggy_issues,all_issues,issues,forks,subscribers,language,lifetime,has_issues,has_downloads,has_wiki,has_pages,created,updated,pushed,default_branch,license,homepage,description,heads,commits,authors,committers,users,paths,snapshots,unique_files,original_files,impact,files,major_language,major_language_ratio,major_language_changes,all_forks_count,max_commit_delta,avg_commit_delta,first_commit,last_commit,is_abandoned,locs,duplicated_code,is_valid,max_experience,project_experience,authors_contributing_95%_commits,authors_contributing_80%_commits,authors_contributing_50%_commits,authors_contributing_95%_changes,authors_contributing_80%_changes,authors_contributing_50%_changes
0,Generic,https://github.com/ibm/plex.git,false,false,false,6846,6846,562406,41,,,,448,188,CSS,121732455,true,true,false,false,1507064330,1630132655,1628796808,"master","SIL Open Font License 1.1","","The package of IBM’s typeface, IBM Plex.",13,307,25,14,26,73481,338,327,9,366,73481,Other,0.9969628901680003,213041,0,13375870,5322865,123081352,1348897,false,11749,0,true,26,4.127035830618892,12,8,3,8,5,2
1,Generic,https://github.com/mxflutter/mxflutter.git,false,false,false,2719,2719,231171,5,,,,308,82,,55720243,true,true,true,false,1561447589,1630062779,1617168586,"master","Other","","基于JavaScript 的Flutter框架 mxflutter",4,168,20,17,21,1839,854,853,0,853,1839,Other,0.6256012827365045,2341,0,17424586,9683644,68696501,12976258,false,17996,0,true,6,3.3333333333333335,11,5,2,4,2,1
2,Generic,https://github.com/startbootstrap/startbootstrap-clean-blog.git,false,false,false,1568,1568,24979,3,,,,1718,63,,213996769,true,true,true,true,1414196963,1630143819,1628196543,"master","MIT License","https://startbootstrap.com/theme/clean-blog/","A clean Bootstrap blog theme created by Start Bootstrap",2,132,11,11,12,1845,417,252,141,698,1845,Other,0.8243299832495813,3937,0,15947791,12428960,215947020,1950251,false,3396,1,true,9,7.893939393939394,4,1,1,1,1,1
3,Generic,https://github.com/startbootstrap/startbootstrap-grayscale.git,false,false,false,1154,1154,27821,3,,,,2163,52,,214420005,true,true,true,true,1414197270,1629638369,1628617276,"master","MIT License","https://startbootstrap.com/theme/grayscale/","A multipurpose one page Bootstrap theme created by Start Bootstrap",3,137,10,10,11,3261,385,237,4,249,3261,Other,0.9132088520055325,7923,0,20298360,11975127,215946713,1526708,false,3100,0,true,26,8.014598540145986,4,2,1,1,1,1
4,Generic,https://github.com/tlbootcamp/tlroadmap.git,false,false,false,4253,4253,24848,32,,,,413,185,,65210080,true,true,false,false,1563552213,1630139502,1628763539,"master","Creative Commons Attribution Share Alike 4.0 International","https://tlroadmap.io","Тимлид – это ❄️, потому что в каждой компании он уникален и неповторим.",23,1038,66,27,67,472,261,260,0,260,472,Other,0.9446574029707714,3943,0,2987276,1570650,66590403,1380323,false,477,0,true,60,7.713872832369942,24,7,2,13,4,2
5,Generic,https://github.com/3521woj/inori-bot.git,false,false,false,0,0,15251,0,,,,0,1,JavaScript,944071,true,true,true,false,1579794963,1580738810,1580738807,"master","","","",1,4,1,1,1,9233,5536,2184,239,2676,9233,JavaScript,0.5537745044947471,5113,0,942475,526912934,50353685,49409614,true,731902,40,true,1,1,1,1,1,1,1,1
6,Generic,https://github.com/absolute-music/dblcore.js.git,false,false,false,1,1,12,0,,,,1,1,JavaScript,0,true,true,true,false,1571028235,1591238493,1571028237,"master","Apache License 2.0","","",1,1,1,1,1,10,7,7,0,7,10,Other,0.6,6,0,0,1571028236,59115251,59115251,true,654,0,true,1,1,1,1,1,1,1,1
7,Generic,https://github.com/akclassic/crudmvc.git,false,false,false,0,0,35747,0,,,,0,1,JavaScript,99210,true,true,true,false,1585563511,1585662300,1585662297,"master","","","",1,2,1,1,1,369,33,18,0,18,369,Other,0.8457583547557841,329,0,99210,1585662251,44585336,44486126,true,68035,0,true,1,1,1,1,1,1,1,1
8,Generic,https://github.com/amarpr/tugas_29_css.git,false,false,false,0,0,1772,0,,,,0,1,JavaScript,48,true,true,true,false,1588320970,1588321093,1588321089,"master","","","",1,2,1,1,1,606,149,103,0,103,606,Other,0.6122112211221122,371,0,48,1588321077,41827312,41827264,true,73642,0,true,1,1,1,1,1,1,1,1
9,Generic,https://github.com/andrebit/ormbenchmark.git,false,false,false,0,0,101,0,,,,0,1,C#,0,true,true,true,false,1552958417,1552958465,1552958463,"master","","","Testing ORMs",1,1,1,1,1,55,16,15,0,15,55,Other,0.8545454545454545,47,0,0,1552958058,77190238,77190238,true,8539,0,true,1,1,1,1,1,1,1,1
10,Generic,https://github.com/ankitkumarr/adventofcodesolutions.git,false,false,false,0,0,36,0,,,,0,1,Python,3969979,true,true,true,false,1455598021,1456981858,1459568465,"master","","","Small doses of python (Thanks to adventofcode.com). For detailed look at the questions, please visit www.adventofcode.com",1,7,1,1,1,24,14,14,0,14,24,Python,0.56,14,0,3149203,243261407,174549773,170579794,true,526,0,true,2,2,1,1,1,1,1,1
11,Generic,https://github.com/anushahiremath/user-job-application.git,false,false,false,0,0,348,1,,,,0,1,JavaScript,24082321,true,true,true,false,1585803501,1585807595,1609889804,"master","","","",2,2,2,2,3,14,10,8,0,8,14,Other,0.6875,11,0,24082321,1609889801,44340755,20258434,false,15544,0,true,26,13.5,1,1,1,2,1,1
12,Generic,https://github.com/arnaucube/coffeeminer.git,false,false,false,1004,1004,2738,22,,,,291,108,Python,1512178,true,true,true,false,1513552924,1629474234,1547063308,"master","GNU General Public License v3.0","http://arnaucode.com/blog/coffeeminer-hacking-wifi-cryptocurrency-miner.html","collaborative (mitm) cryptocurrency mining pool in wifi networks",1,4,2,2,3,14,12,12,0,12,14,Other,0.6086956521739131,14,0,900182,505021701,116595161,115082983,true,88,0,true,1,1,1,1,1,1,1,1
